source,report_title,report_date,exhibit,group,match_day,date,home_team,away_team,home_goals,away_goals,scoreline,result_type,market_type,stage,extraction_method,notes
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,B,3,24-Jun,Switzerland,Canada,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,B,3,24-Jun,Bosnia and H.,Qatar,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,C,1,13-Jun,Brazil,Morocco,2,1,2-1,home_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,C,1,13-Jun,Haiti,Scotland,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,C,2,19-Jun,Scotland,Morocco,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,C,2,19-Jun,Brazil,Haiti,2,1,2-1,home_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,C,3,24-Jun,Scotland,Brazil,1,2,1-2,away_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,C,3,24-Jun,Morocco,Haiti,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,D,1,12-Jun,USA,Paraguay,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,D,1,13-Jun,Australia,Turkiye,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,D,2,19-Jun,USA,Australia,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,D,2,19-Jun,Turkiye,Paraguay,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,D,3,25-Jun,Turkiye,USA,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,D,3,25-Jun,Paraguay,Australia,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,E,1,14-Jun,Germany,Curacao,2,1,2-1,home_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,E,1,14-Jun,Ivory Coast,Ecuador,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,E,2,20-Jun,Germany,Ivory Coast,2,1,2-1,home_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,E,2,20-Jun,Ecuador,Curacao,2,1,2-1,home_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,E,3,25-Jun,Curacao,Ivory Coast,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,E,3,25-Jun,Ecuador,Germany,1,2,1-2,away_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,F,1,14-Jun,Netherlands,Japan,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,F,1,14-Jun,Sweden,Tunisia,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,F,2,20-Jun,Netherlands,Sweden,2,1,2-1,home_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,F,2,20-Jun,Tunisia,Japan,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,F,3,25-Jun,Japan,Sweden,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,F,3,25-Jun,Tunisia,Netherlands,1,2,1-2,away_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,G,1,15-Jun,Belgium,Egypt,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,G,1,15-Jun,Iran,New Zealand,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,G,2,21-Jun,Belgium,Iran,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,G,2,21-Jun,New Zealand,Egypt,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,G,3,26-Jun,Egypt,Iran,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,G,3,26-Jun,New Zealand,Belgium,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,H,1,15-Jun,Spain,Cape Verde,3,0,3-0,home_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,H,1,15-Jun,Saudi Arabia,Uruguay,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,H,2,21-Jun,Spain,Saudi Arabia,3,0,3-0,home_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,H,2,21-Jun,Uruguay,Cape Verde,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,H,3,26-Jun,Uruguay,Spain,0,2,0-2,away_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,H,3,26-Jun,Cape Verde,Saudi Arabia,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,I,1,16-Jun,France,Senegal,2,1,2-1,home_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,I,1,16-Jun,Iraq,Norway,1,2,1-2,away_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,I,2,22-Jun,France,Iraq,3,0,3-0,home_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,I,2,22-Jun,Norway,Senegal,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,I,3,26-Jun,Norway,France,1,2,1-2,away_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,I,3,26-Jun,Senegal,Iraq,2,1,2-1,home_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,J,1,16-Jun,Argentina,Algeria,2,1,2-1,home_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,J,1,16-Jun,Austria,Jordan,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,J,2,22-Jun,Argentina,Austria,2,1,2-1,home_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,J,2,22-Jun,Jordan,Algeria,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,J,3,27-Jun,Algeria,Austria,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,J,3,27-Jun,Jordan,Argentina,1,2,1-2,away_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,K,1,17-Jun,Portugal,DR Congo,2,1,2-1,home_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,K,1,17-Jun,Uzbekistan,Colombia,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,K,2,23-Jun,Portugal,Uzbekistan,2,1,2-1,home_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,K,2,23-Jun,Colombia,DR Congo,2,1,2-1,home_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,K,3,27-Jun,Colombia,Portugal,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,K,3,27-Jun,DR Congo,Uzbekistan,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,L,1,17-Jun,England,Croatia,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,L,1,17-Jun,Ghana,Panama,1,1,1-1,draw,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,L,2,23-Jun,England,Ghana,2,1,2-1,home_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,L,2,23-Jun,Panama,Croatia,1,2,1-2,away_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,L,3,27-Jun,Panama,England,1,2,1-2,away_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
Goldman Sachs Global Investment Research,"World Cup 2026: Predictions, Probabilities, and Paths to Victory",2026-05-29,Exhibit 5,L,3,27-Jun,Croatia,Ghana,2,1,2-1,home_win,match_result_modal,group_stage,pdf_image_exhibit_5_12,Most Likely Predicted Group Stage Results; modal forecast as of report date
